,Area_km2,Perimeter_km,Basin_Length_km,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,TRI_Mean,Rbm
Area_km2,1.0,0.9833890110545223,0.9970483498142226,0.8813008048519707,0.6180575661794644,0.9778573322525357,,,0.4409835055486393,-0.46154701364651723,-0.8667061108673991,,-0.966719079728883,-0.954831934466808,0.8813655463960656,-0.9667143488551814,,0.38737973439324486,0.5492553344803156,0.9699310237945189
Perimeter_km,0.9833890110545223,1.0,0.9809194905257032,0.7930430692240061,0.5194812320050873,0.9245466528351945,,,0.28909197817524196,-0.31620568204761607,-0.7751780738761003,,-0.9504452826844871,-0.9890232953875325,0.793111352671366,-0.9504409646791322,,0.2548659969938385,0.41890436848993995,0.9558796852000594
Basin_Length_km,0.9970483498142226,0.9809194905257032,1.0,0.8823047987320902,0.5690279922903679,0.9722169535440023,,,0.4694121262424329,-0.49354021407633103,-0.8692759323218301,,-0.9834814550273444,-0.9610726974284289,0.8823715501883007,-0.9834781454993531,,0.3381449455195286,0.5107337285865111,0.9644495726581214
Drainage_Density_Dd,0.8813008048519707,0.7930430692240061,0.8823047987320902,1.0,0.6719759562148404,0.9346504573293654,,,0.7278133981222964,-0.7320920781246764,-0.9994046148017883,,-0.8654067316712943,-0.7400468646623122,0.9999999759722216,-0.8654052944828501,,0.5956108514939162,0.7748745621470278,0.9047136313020622
Stream_Frequency_Fs,0.6180575661794644,0.5194812320050873,0.5690279922903679,0.6719759562148404,1.0,0.7265442053545644,,,0.41796674101840015,-0.38530401613818716,-0.6581185393276556,,-0.4460861422533235,-0.3878903456390232,0.6720169120668361,-0.4460698695281152,,0.9351262947649572,0.9110868852236195,0.5795288637431143
Texture_Ratio_T,0.9778573322525357,0.9245466528351945,0.9722169535440023,0.9346504573293654,0.7265442053545644,1.0,,,0.5829452770544553,-0.5941154704870988,-0.923252182992288,,-0.9383427285050858,-0.8735674613756138,0.9347149359923772,-0.9383368314614614,,0.5372581939772963,0.6800467671667434,0.9387558950644137
Form_Factor_Ff,,,,,,,,,,,,,,,,,,,,
Elongation_Ratio_Re,,,,,,,,,,,,,,,,,,,,
Circularity_Ratio_Rc,0.4409835055486393,0.28909197817524196,0.4694121262424329,0.7278133981222964,0.41796674101840015,0.5829452770544553,,,1.0,-0.997994147770217,-0.7447304679116968,,-0.5329774406778458,-0.245972385648606,0.7278405665059886,-0.5329810590758413,,0.47334800760266144,0.5772943824639789,0.39584840038456126
Compactness_Cc,-0.46154701364651723,-0.31620568204761607,-0.49354021407633103,-0.7320920781246764,-0.38530401613818716,-0.5941154704870988,,,-0.997994147770217,1.0,0.7488470909199482,,0.5646361856489446,0.28103644414333634,-0.7321238704256237,0.5646405673808127,,-0.42688536462282123,-0.5410192242931817,-0.41341921605636583
LengthOverlandFlow_Lg,-0.8667061108673991,-0.7751780738761003,-0.8692759323218301,-0.9994046148017883,-0.6581185393276556,-0.923252182992288,,,-0.7447304679116968,0.7488470909199482,1.0,,0.8564155397677586,0.7232371549755859,-0.9994009199933138,0.856414648126223,,-0.5915236111985323,-0.7731187079684766,-0.8929086988693661
Basin_Relief_H_m,,,,,,,,,,,,,,,,,,,,
Relief_Ratio_Rh,-0.966719079728883,-0.9504452826844871,-0.9834814550273444,-0.8654067316712943,-0.4460861422533235,-0.9383427285050858,,,-0.5329774406778458,0.5646361856489446,0.8564155397677586,,1.0,0.9505549182815428,-0.8654784171630159,0.9999999997683175,,-0.2202668843872498,-0.412191854125457,-0.92648888835785
Relative_Relief,-0.954831934466808,-0.9890232953875325,-0.9610726974284289,-0.7400468646623122,-0.3878903456390232,-0.8735674613756138,,,-0.245972385648606,0.28103644414333634,0.7232371549755859,,0.9505549182815428,1.0,-0.7401153576668212,0.9505530778477204,,-0.11269751323421327,-0.2932246358894903,-0.9294396440776302
Ruggedness_Rn,0.8813655463960656,0.793111352671366,0.8823715501883007,0.9999999759722216,0.6720169120668361,0.9347149359923772,,,0.7278405665059886,-0.7321238704256237,-0.9994009199933138,,-0.8654784171630159,-0.7401153576668212,1.0,-0.8654769781308509,,0.5955938954830924,0.7748388042183386,0.9047261759015991
Melton_MRN,-0.9667143488551814,-0.9504409646791322,-0.9834781454993531,-0.8654052944828501,-0.4460698695281152,-0.9383368314614614,,,-0.5329810590758413,0.5646405673808127,0.856414648126223,,0.9999999997683175,0.9505530778477204,-0.8654769781308509,1.0,,-0.22025307950544668,-0.4121816617007343,-0.9264861367825917
Hypsometric_HI,,,,,,,,,,,,,,,,,,,,
Slope_Mean_deg,0.38737973439324486,0.2548659969938385,0.3381449455195286,0.5956108514939162,0.9351262947649572,0.5372581939772963,,,0.47334800760266144,-0.42688536462282123,-0.5915236111985323,,-0.2202668843872498,-0.11269751323421327,0.5955938954830924,-0.22025307950544668,,1.0,0.9624039399052283,0.39745779667053693
TRI_Mean,0.5492553344803156,0.41890436848993995,0.5107337285865111,0.7748745621470278,0.9110868852236195,0.6800467671667434,,,0.5772943824639789,-0.5410192242931817,-0.7731187079684766,,-0.412191854125457,-0.2932246358894903,0.7748388042183386,-0.4121816617007343,,0.9624039399052283,1.0,0.5894963474862813
Rbm,0.9699310237945189,0.9558796852000594,0.9644495726581214,0.9047136313020622,0.5795288637431143,0.9387558950644137,,,0.39584840038456126,-0.41341921605636583,-0.8929086988693661,,-0.92648888835785,-0.9294396440776302,0.9047261759015991,-0.9264861367825917,,0.39745779667053693,0.5894963474862813,1.0
