,Area_km2,Perimeter_km,Basin_Length_km,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,TRI_Mean,Rbm
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,63.26655999999999,52.70204,7.320359999999999,2.9985,11.188220000000001,12.97388,1.128,1.1984,0.2726,1.92302,0.16704,953.0,0.1354826,18.66724,2.85758,127.56418000000001,0.26190000772476196,13.338399999999998,19.1156,1.9996199999999997
std,32.56379789847923,11.337812249415672,1.76766950191488,0.1427042220818991,0.7428183102212818,4.298944840539362,0.0,0.0,0.030708956348270776,0.11348221005955075,0.0077793315908244905,0.0,0.02788471949473403,3.4335735463216746,0.13600787477201454,26.254836656071582,0.0,1.0445136667368211,2.1316163585410957,0.31358414660183304
min,36.4113,43.2638,5.6815,2.8612,10.4446,9.0603,1.128,1.1984,0.2279,1.8073,0.1557,953.0,0.092721,13.2897,2.7267,87.3025,0.26190000772476196,12.037,16.188,1.7955
25%,45.5996,44.811,6.3581,2.8732,10.5398,11.1251,1.128,1.1984,0.2571,1.8531,0.1647,953.0,0.129913,18.281,2.7382,122.3192,0.26190000772476196,12.535,18.291,1.7995
50%,54.4602,51.5952,6.9484,3.0109,11.1504,12.1617,1.128,1.1984,0.2807,1.8875,0.1661,953.0,0.137154,18.4707,2.8694,129.1378,0.26190000772476196,13.438,18.798,1.8138
75%,60.7011,52.1307,7.3357,3.0357,11.5791,12.2042,1.128,1.1984,0.2912,1.9723,0.174,953.0,0.149888,21.2671,2.893,141.1277,0.26190000772476196,14.293,20.63,2.0677
max,119.1606,71.7095,10.2781,3.2115,12.2272,20.3181,1.128,1.1984,0.3061,2.0949,0.1747,953.0,0.167737,22.0277,3.0606,157.9337,0.26190000772476196,14.389,21.671,2.5216
Mean,63.26655999999999,52.70204,7.320359999999999,2.9985,11.188220000000001,12.97388,1.128,1.1984,0.2726,1.92302,0.16704,953.0,0.1354826,18.66724,2.85758,127.56418000000001,0.26190000772476196,13.338399999999998,19.1156,1.9996199999999997
Median,54.4602,51.5952,6.9484,3.0109,11.1504,12.1617,1.128,1.1984,0.2807,1.8875,0.1661,953.0,0.137154,18.4707,2.8694,129.1378,0.26190000772476196,13.438,18.798,1.8138
Std,32.56379789847923,11.337812249415672,1.76766950191488,0.1427042220818991,0.7428183102212818,4.298944840539362,0.0,0.0,0.030708956348270776,0.11348221005955075,0.0077793315908244905,0.0,0.02788471949473403,3.4335735463216746,0.13600787477201454,26.254836656071582,0.0,1.0445136667368211,2.1316163585410957,0.31358414660183304
CV%,51.470789463626964,21.513042473148424,24.147302891044706,4.759186996228084,6.639289451059076,33.135383096956055,0.0,0.0,11.265207757986344,5.901249600084802,4.657166900637267,0.0,20.581771751305354,18.3935790525095,4.75954740626735,20.58166850292267,0.0,7.830876767354565,11.151187294885306,15.68218694561132
Skewness,1.2063940518132414,1.0612078245890542,1.0389556333654588,0.49643080064103395,0.33919614831831624,1.1570279889761679,,,-0.4678795039144667,0.6237234709552782,-0.4068689748188899,,-0.5390480691392185,-0.6908382901111084,0.4966836677047127,-0.538995020657436,,-0.16977244051222257,-0.15943115858971038,1.0840917296843633
Kurtosis,-0.11417618277153396,-0.30809215990215355,-0.29150435838772326,-0.9939809418671985,-1.2846938467460671,-0.11209699267381934,,,-1.0907130483559613,-0.9584414263219392,-1.0923683045981158,,-0.6895903961139678,-0.7303243386891318,-0.9935940156394687,-0.6896398042487006,,-1.5996670627006921,-1.1559184457202978,-0.45373793894119796
